method,split,seed,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
no_contact_behavior_clone,nominal,0,80,0.433333,0.047067,0.411928,0.047236,0.216158,0.001568,0.286311,0.005007,0.096323,0.003269,0.075528,0.004422,0.052404,0.002993,0.069424,0.003707,0.051175,0.002865,0.05787,0.00314,0.224039,0.001747,0.076482,0.003479,0.061402,0.000992,0.120676,0.000645,0.364545,0.000882,0.3375,0.0
no_contact_behavior_clone,nominal,1,80,0.464583,0.044898,0.442995,0.04489,0.214527,0.001419,0.286747,0.005283,0.095905,0.003256,0.075698,0.004041,0.05256,0.002826,0.068391,0.003857,0.051501,0.002864,0.059279,0.002934,0.225433,0.00172,0.076353,0.003319,0.061793,0.000988,0.12078,0.000654,0.364683,0.000839,0.322917,0.0
no_contact_behavior_clone,nominal,2,80,0.414583,0.043871,0.394221,0.043519,0.215714,0.001387,0.28727,0.005163,0.095724,0.003199,0.076163,0.004271,0.053087,0.002834,0.068417,0.003561,0.052314,0.003128,0.059458,0.002901,0.226872,0.001563,0.076567,0.003378,0.061537,0.000959,0.120475,0.000669,0.364622,0.000835,0.34375,0.0
no_contact_behavior_clone,nominal,3,80,0.479167,0.049437,0.457462,0.049575,0.214297,0.001494,0.286498,0.005242,0.096046,0.003215,0.075388,0.00419,0.053521,0.002765,0.068384,0.003689,0.051765,0.002962,0.058437,0.002991,0.224625,0.001623,0.076746,0.003468,0.062019,0.00087,0.120623,0.000709,0.36447,0.00083,0.314583,0.0
no_contact_behavior_clone,nominal,4,80,0.4375,0.043243,0.41623,0.042984,0.214529,0.001613,0.287127,0.005272,0.096147,0.003331,0.075671,0.00402,0.052775,0.002959,0.068273,0.003669,0.051245,0.003022,0.058315,0.003097,0.224874,0.001939,0.075958,0.003396,0.061706,0.000993,0.119986,0.000694,0.364649,0.000887,0.335417,0.0
no_contact_behavior_clone,nominal,5,80,0.433333,0.042146,0.411843,0.042226,0.215106,0.001551,0.287956,0.005381,0.096913,0.003329,0.075882,0.004106,0.053003,0.002818,0.067919,0.003472,0.051836,0.003039,0.058956,0.00316,0.225567,0.001822,0.076346,0.003472,0.061703,0.000983,0.120736,0.000744,0.364645,0.000821,0.33125,0.0
no_contact_behavior_clone,nominal,6,80,0.49375,0.047011,0.471976,0.047164,0.215219,0.001504,0.287501,0.005289,0.096655,0.003249,0.075934,0.00421,0.05261,0.002778,0.069427,0.003836,0.051341,0.002901,0.059393,0.003057,0.225237,0.00182,0.076418,0.003461,0.062093,0.000981,0.120419,0.000662,0.364573,0.000866,0.277083,0.0
no_contact_behavior_clone,nominal,7,80,0.491667,0.044975,0.469914,0.044914,0.216456,0.001624,0.287504,0.005351,0.096091,0.003312,0.075476,0.004324,0.053369,0.002767,0.070012,0.003686,0.0514,0.002954,0.058382,0.002968,0.225032,0.001864,0.076589,0.003335,0.062225,0.00106,0.120833,0.000665,0.364383,0.000859,0.272917,0.0
no_contact_behavior_clone,nominal,8,80,0.435417,0.041293,0.413396,0.0415,0.215321,0.001417,0.287131,0.005199,0.096595,0.00311,0.075722,0.004125,0.052468,0.002671,0.068325,0.00385,0.051556,0.003009,0.059035,0.003046,0.224133,0.001906,0.077124,0.003345,0.062114,0.000802,0.120957,0.000615,0.364621,0.000848,0.347917,0.0
no_contact_behavior_clone,nominal,9,80,0.4875,0.048192,0.466213,0.04815,0.214774,0.001645,0.287454,0.005263,0.09544,0.003205,0.075594,0.004273,0.054024,0.002734,0.068457,0.003713,0.051644,0.002976,0.058973,0.003032,0.223487,0.001887,0.075635,0.003409,0.062424,0.001028,0.120993,0.000665,0.364328,0.000825,0.289583,0.0
